nohup: ignoring input
nohup: ignoring input
(300, 1971, 2)
(300, 1971, 2)
(590100, 5, 2)
Step: 4500, Loss: 91776.734375, Current Best Loss: inf, Computation time: 275.64480447769165
Step: 4600, Loss: 92829.1953125, Current Best Loss: inf, Computation time: 279.4476959705353
Step: 4700, Loss: 93146.0078125, Current Best Loss: inf, Computation time: 278.863561630249
Step: 4800, Loss: 89242.9609375, Current Best Loss: inf, Computation time: 277.6622190475464
Step: 4900, Loss: 91676.015625, Current Best Loss: inf, Computation time: 280.4485192298889
Step: 5000, Loss: 90868.25, Current Best Loss: inf, Computation time: 279.75380301475525
Step: 5100, Loss: 91844.8828125, Current Best Loss: inf, Computation time: 278.74455857276917
Step: 5200, Loss: 86554.5078125, Current Best Loss: inf, Computation time: 277.3901240825653
Step: 5300, Loss: 86158.265625, Current Best Loss: inf, Computation time: 278.4131419658661
Step: 5400, Loss: 87696.515625, Current Best Loss: inf, Computation time: 278.8736798763275
Step: 5500, Loss: 83574.0, Current Best Loss: inf, Computation time: 278.54759526252747
Step: 5600, Loss: 89019.8046875, Current Best Loss: inf, Computation time: 280.2528703212738
Step: 5700, Loss: 88046.34375, Current Best Loss: inf, Computation time: 279.2968943119049
Step: 5800, Loss: 85463.25, Current Best Loss: inf, Computation time: 279.9612715244293
Step: 5900, Loss: 84918.2734375, Current Best Loss: inf, Computation time: 278.9511983394623
Step: 6000, Loss: 83775.3359375, Current Best Loss: inf, Computation time: 278.9851484298706
Step: 6100, Loss: 85815.6328125, Current Best Loss: inf, Computation time: 279.1528730392456
Step: 6200, Loss: 85596.1875, Current Best Loss: inf, Computation time: 283.34214186668396
Step: 6300, Loss: 87162.6328125, Current Best Loss: inf, Computation time: 283.3218352794647
Step: 6400, Loss: 83122.109375, Current Best Loss: inf, Computation time: 283.27322816848755
Step: 6500, Loss: 83963.65625, Current Best Loss: inf, Computation time: 283.76797580718994
Step: 6600, Loss: 81524.1328125, Current Best Loss: inf, Computation time: 284.15652680397034
Step: 6700, Loss: 80663.9609375, Current Best Loss: inf, Computation time: 283.30139803886414
Step: 6800, Loss: 80492.4140625, Current Best Loss: inf, Computation time: 285.3650453090668
Step: 6900, Loss: 78929.6328125, Current Best Loss: inf, Computation time: 285.9621548652649
Step: 7000, Loss: 79588.140625, Current Best Loss: inf, Computation time: 285.1669809818268
Step: 7100, Loss: 83535.4453125, Current Best Loss: inf, Computation time: 287.290326833725
Step: 7200, Loss: 76071.6796875, Current Best Loss: inf, Computation time: 286.14533138275146
Step: 7300, Loss: 81180.6328125, Current Best Loss: inf, Computation time: 284.27915501594543
Step: 7400, Loss: 75880.734375, Current Best Loss: inf, Computation time: 286.36228466033936
Step: 7500, Loss: 80021.8671875, Current Best Loss: inf, Computation time: 287.31684827804565
Step: 7600, Loss: 81514.0546875, Current Best Loss: inf, Computation time: 288.5120129585266
Step: 7700, Loss: 83297.3515625, Current Best Loss: inf, Computation time: 287.4139471054077
Step: 7800, Loss: 79693.5078125, Current Best Loss: inf, Computation time: 286.49387383461
Step: 7900, Loss: 75067.875, Current Best Loss: inf, Computation time: 289.00373339653015
Step: 8000, Loss: 78754.7421875, Current Best Loss: inf, Computation time: 287.79815316200256
Step: 8100, Loss: 79809.3984375, Current Best Loss: inf, Computation time: 287.58025002479553
Step: 8200, Loss: 78826.203125, Current Best Loss: inf, Computation time: 288.678498506546
Step: 8300, Loss: 81666.6015625, Current Best Loss: inf, Computation time: 287.794828414917
Step: 8400, Loss: 79927.03125, Current Best Loss: inf, Computation time: 288.16245675086975
Step: 8500, Loss: 80790.734375, Current Best Loss: inf, Computation time: 288.0146367549896
Step: 8600, Loss: 80602.5234375, Current Best Loss: inf, Computation time: 287.79780888557434
Step: 8700, Loss: 82071.3984375, Current Best Loss: inf, Computation time: 288.38957262039185
Step: 8800, Loss: 77475.9375, Current Best Loss: inf, Computation time: 287.6421434879303
Step: 8900, Loss: 76551.4375, Current Best Loss: inf, Computation time: 289.6532392501831
Step: 9000, Loss: 78905.1640625, Current Best Loss: inf, Computation time: 290.3052327632904
Step: 9100, Loss: 79581.265625, Current Best Loss: inf, Computation time: 290.3095989227295
